"","Display Id","APPIC Member Number:","Program Type:","Last Modified by Member:","Site:","Department:","Address:","Country:","Metro Area:","Distance from Major City:","Phone:","Fax:","Email:","Web Address:","Brochure Website's Address:","Primary Agency Type:","Additional Agency Types:","Member of APPIC since:","APA Accreditation","CPA Accreditation","Training Director & Lead / Director:","Chief Psychologist:","Number of Full-Time Licensed Doctoral Psychologists on Staff/Faculty","Number of Part-Time Licensed Doctoral Psychologists on Staff/Faculty","Start Date:","Number of Full Time Slots Expected Next Class:","Number of Part Time Slots Expected Next Class:","Fringe Benefits:","Other Fringe Benefits (not indicated above):","Brief description of the typical work day for an intern at this training site","Is this program fully affiliated with one or more doctoral programs?","Is this program partially affiliated with one or more doctoral programs?","Accepting Applicants:","Application Due Date:","Application Due Date Time Zone:","This program uses the AAPI:","An onsite interview is:","Interview notification date:","Interview notification date time zone:","Tentative interview date:","Interview process description:","How to obtain application info:","Preferred method of contacting the program:","We have matched with interns from these programs:","US Citizenship Required:","Canadian Citizenship Required:","Masters Degree Required:","Comprehensive Exams Passed:","Dissertation Proposal Approved:","Dissertation Defended:","Minimum Number of AAPI Intervention Hours:","Minimum Number of AAPI Assessment Hours:","Minimum Number of Years of Grad Training Required:","Clinical Psychology","Counseling Psychology","School Psychology","APA-Accredited","CPA-Accredited","Non-Accredited","Ph.D Degree","Psy.D. Degree","Ed.D. Degree","This institution, department, internship, or postdoctoral program requires trainees to sign a statement
            about personal behavior and/or religious beliefs as a condition of admission and/or retention in the program:","How to obtain text of statement:","Other Requirements:","Children:","Adolescents:","Adults:","Family:","Older Adults:","Inpatients:","Outpatients:","Gay/lesbian/bisexual/transgender:","Ethnic minorities:","Spanish-speaking:","French-speaking:","Deaf/Hearing-impaired:","Students:","International Students:","Rural:","Urban:","Low income:","Homelessness:","Other:","Assessment:","Individual Therapy:","Couples Therapy:","Family Therapy:","Group Therapy:","Community Intervention:","Consultation/Liaison:","Crisis Intervention:","Brief Psychotherapy:","Long-term Psychotherapy:","Cognitive Rehabilitation:","Primary Care:","Evidenced Based Practice:","Evidence Based Research:","Supervision of Practicum students :","Other:","Health Psychology:","Women's Health:","HIV/AIDS:","Eating Disorders:","Sexual Disorders:","Sports Psychology:","Rehabilitation Psychology:","Physical Disabilities:","Learning Disabilities:","Developmental Disabilities:","Assessment:","Neuropsychology-Adult:","Neuropsychology-Child:","Serious Mental Illness:","Anxiety Disorders:","Trauma/PTSD:","Sexual Abuse:","Substance Use Disorders:","Forensics/Corrections:","Sexual Offenders:","Geropsychology:","Pediatrics:","School:","Counseling:","Vocational/Career Development:","Multicultural Therapy:","Feminist Therapy:","Religion/Spirituality:","Empirically-Supported Treatments:","Public Policy/Advocacy:","Program Development/Evaluation:","Supervision:","Research:","Administration:","Integrated health care - primary:","Integrated health care - specialty:","Other:","Description","Full Time - High","Full Time - Low","Part Time - High","Part Time - Low"
"1","491","1325","Internship","2015-05-18 12:44:52.000","VA Boston Healthcare System","VA Boston Healthcare System Psychology Internship Training Program","VA Boston Healthcare System 
            
            
              150 South Huntington Avenue 
            
            
            Boston, Massachusetts 02130","United States","Boston-Cambridge-Quincy, MA-NH","","857-364-4335x","","risa.weisberghawkins@va.gov","http://www.boston.va.gov/psychologytraining/internship.asp","http://www.boston.va.gov/psychologytraining/20152016InternshipTrainingBrochurev2.pdf","Veterans Affairs Medical Center","Veterans Affairs Medical Center","1990  Year","Accredited","Not Accredited","Risa Weisberg","Jennifer Vasterling Ph.D.","120","6","08/22/2016","18","0","Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","10 paid federal holidays; 13 days annual leave; 13 days sick leave; plus 40 hours of official leave for outside educational events / conferences. Tort/malpractice coverage (VA) is provided. Interns also are granted leave for dissertation defense.",NA,"No","No","Yes","11/02/2015 11:59 PM","Eastern Standard Time","Yes","Preferred","11/25/2015","Eastern Standard Time","","IMPORTANT: The candidate's cover letter should indicate application to no more than two (2) rotations. Interviews are by invitation only.  All applicants will be notified by email on or before November 25.  Invited applicants are also notified by regular mail.  Personal interviews are conducted by phone for those applicants who request it and are conducted in-person at the Jamaica Plain Campus of VA Boston for all others.
Interview Dates:

Thursday, December 10, 2015
Monday, December 14, 2015
Friday, December 18, 2015
Wenesday, January 6, 2015
Wednesday, January 13, 2016
Tuesday, January 19, 2016

Invited applicants will negotiate with internship staff to schedule up to three individual interviews and an additional group interview well in advance of their confirmed interview date.  Applicants will also meet with current interns as well as representatives of our Diversity Committee.  A light breakfast and lunch will be provided.  Invited applicants should plan on all-day (until 4pm, Eastern) interviews.  See updated brochure. 
 
 ","Visit Website","Email the Program","","Yes","No","No","Yes, by ranking deadline","Yes, by start of internship","No","","","3","Preferred","Preferred","None","Preferred","","None","Preferred","Acceptable","Acceptable","No","","At a minimum, candidates for internship must have completed 3 years of graduate training by the start of internship, and have completed at least 400 practicum hours of intervention and assessment experience (combined).  These standards are set to accommodate the different priorities of the various internship training tracks.  For example, an applicant with 250 intervention hours might be competitive for the neuropsychology rotation but probably would not be competitive for the more intervention-intensive rotations.  Similarly, an applicant with 50 assessment hours would not be competitive for the neuropsychology rotation but might be competitive for another one.","","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","As feasible, Supervision of Practicum student/s","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","","","The primary objective of the VA Boston Healthcare System Psychology Internship Program is to provide a comprehensive predoctoral training program that assures the development of adequate levels of proficiency across the basic core competencies of clinical psychology including assessment, behavior change and psychotherapy, consultation, attention to issues of diversity, professional ethics, and scholarly inquiry / clinical research.  ","26208",NA,NA,NA
"2","393","1261","Internship","2016-03-29 10:48:10.000","Adler University-Juvenile Justice Internship Program","Adler Community Health Services","17 N. Dearborn 
            
            
            
            Chicago, Illinois 60602","United States","Chicago-Joliet-Naperville, IL-IN-WI MSA","Actual site is about 40  miles west of downtown Chicago","312-662-4000x4336","","ccc@adler.edu","http://adler.edu/achs","http://adler.edu/achs","Prison or Other Correctional Facility","Prison or Other Correctional Facility","2012  Year","Not Accredited","Not Accredited","Cristina Cox Ph.D.","Cristina Cox Ph.D.","7","6","09/01/2017","3","0","Comp Time ,
              
              
              
              
              
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","11/15/2016 11:59 PM","Central Standard Time","Yes","Required","12/15/2016","Central Standard Time","","Onsite interviews are required. These are individual interviews and include meeting with Training Director and clinical supervisor(s). Interviews are scheduled from late December through January and candidates will be notified by Dec. 15th by email of their interview status and scheduling will commence. Candidates will also have the opportunity to meet with current interns or post doctoral resident and get an overview of the program and setting.","Visit Website","Email the Program","","No","No","No","Yes, by application deadline","Yes, by application deadline","No","400","100","3","Preferred","Acceptable","None","Preferred","Acceptable","None","Acceptable","Preferred","None","No","","Complete state background clearance and drug screening required prior to beginning internship training at this correctional facility.","","Yes","","","","","","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","","Yes","","","","","","","","","","Yes","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","Yes","","Yes","Yes","","","","","","The Adler Juvenile Justice Internship Program provides mental health services to adolescent males within the Illinois Youth Center at St. Charles, Illinois which is a medium security correctional facility. The program is under the Adler Community Health Services department of Adler University which is located in downtown Chicago but the internship service delivery site is approximately 40 miles west of downtown Chicago. The program follows a practitioner-scholar training model; activities include assessment, group and individual therapy, crisis assessment, consulting, and intake and diagnostic interviewing. Each intern receives a minimum of 2 hours of individual supervision per week from two different licensed supervisors. Additionally, a two hour group supervision and 4 hours of didactic training occurs every week on grounds. Additional training occurs offsite in a monthly training day at the Adler University campus and interns are sent to additional paid, offsite professional trainings each year. Familiarity with Adlerian/Individual Psychology is not required of applicants but interns must demonstrate values consistent with social responsibility, social justice and commitment to working with underserved populations. A post-doctoral position also exists within the Adler Juvenile Justice Program as well as advanced practicum positions. Prior correctional or forensic experience is helpful but is not required. Strong foundation in child and adolescent development, assessment and treatment is preferred. Note: This program was part of the Adler School of Professional Psychology Psychological Services Center (program #254) from 1994 until mid-2002. Please refer to program #254 statistics for information about prior years. Intern statistics below reflect the recent intern groups within the Adler Juvenile Justice Program.","23000",NA,NA,NA
"3","105","1283","Internship","2016-06-28 16:26:49.000","Advocate Family Care Network","Advocate Family Care Network","Mailing Address: P.O. Box 776 
            
            
            
            Oak Lawn, Illinois 60454-0776","United States","Chicago-Joliet-Naperville, IL-IN-WI MSA","Oak Lawn is adjacent to southwestern portion of southside Chicago","800-216-1110x429559","708-346-4868","gene.carroccia@advocatehealth.com","http://www.advocatehealth.com/familycarenetwork","http://www.advocatehealth.com/graduatestudies","Private Outpatient Clinic","Private Outpatient Clinic","1995  Year","Accredited","Not Accredited","Gene Carroccia","John Smith","4","1","07/10/2017","2","0","Comp Time ,
              
              
            
              Dental Insurance,
              
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
              
            
              Sick Leave,
              
                  
              Vacation","In addition to the stipend, medical and dental insurance is available to interns (at an extra cost), paid time off is provided (for holidays, sick and personal time off), and the Advocate 401K program with employer match is available to interns.",NA,"No","No","Yes","11/16/2016 11:59 PM","Central Standard Time","Yes","Required","12/31/2016","Central Standard Time","01/2017","Only on-site interviews are given and no telephone interviews are permitted. We offer interviews with applicants conducted by one or two interviewers. We attempt to have current interns at the site during the interview process to speak with applicants. Some in-state applicants are invited to a second interview at a later date. Some out-of-state applicants are invited to a second interview later on the first interview day.","Visit Website","Email the Program","","No","No","Yes, by ranking deadline","Yes, by start of internship","Yes, by ranking deadline","No","550","150","3","Preferred","Acceptable","None","Preferred","None","None","Preferred","Preferred","None","No","","Strong interests in assessment and treatment of child/adolescent sexual abuse, maltreatment and trauma, foster-care populations, sexual behavior problems, and systems work. Cultural and diversity interests are encouraged and appreciated.","Yes","Yes","Yes","Yes","","","Yes","","Yes","","","","","","","Yes","Yes","","","Yes","Yes","","Yes","","","Yes","","Yes","Yes","","","","","","","","","","","","","","","","","Yes","","","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","","Yes","","","","","","","","","We are an APA-accredited doctoral clinical psychology training program located in Oak Lawn and Bolingbrook, IL. Position is 5 days per week with some evening work to meet the patient availability and needs.  We provide outpatient clinical services in our Oak Lawn and Bolingbrook, IL offices.  Due to the necessity of driving to different locations, a working car is a required.","24793",NA,NA,NA
"4","671","1263","Internship","2015-07-31 17:07:08.000","Advocate Illinois Masonic Medical Center","Behavioral Health Services","938 W. Nelson Street 
            
            
            
            Chicago, Illinois 60657","United States","Chicago-Joliet-Naperville, IL-IN-WI MSA","0","773-296-3258x","773-296-3226","elizabeth.rutha@advocatehealth.com","http://www.advocatehealth.com/immc/body.cfm?id=170","","Private General Hospital","Community Mental Health Center  



Private General Hospital 
Private Outpatient Clinic","1978  Year","Accredited","Not Accredited","Elizabeth Rutha Psy.D.","Elizabeth Rutha Psy.D.","11","4","09/01/2016","3","0","Comp Time ,
              
            
              Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
              
            
              Professional Development Time,
              
              
                  
              Vacation","",NA,"No","No","Yes","11/13/2015 11:59 PM","Central Standard Time","Yes","Preferred","12/15/2014","Central Standard Time","01/04/2016","Applicants will be notified of interview status via e-mail by December 12th, 2015.  Interviews occur in both individual and group formats.","Visit Website","Email the Program","","No","No","No","Yes, by application deadline","No","No","","","3","Preferred","Acceptable","Acceptable","Preferred","Acceptable","None","Preferred","Preferred","Acceptable","No","","pre-employment health screen and drug test are required","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","Yes","","Yes","","Yes","","Interns work with the entire age span but may concentrate on work with children, adolescents or adults. The outpatient clinic serves a very diverse population with regard to race, ethnicity, and sexual orientation. There is no dominant theoretical framework. Cognitive, Behavioral, Dynamic, Systems, and Developmental Perspectives are well-represented. The program has a strong team of bilingual (English/Spanish) supervisors and staff. There are opportunities for longer term therapy but outpatient clinics typically adhere to a 20-session model with guidelines for extended therapy. The program is primarily outpatient and community focused with opportunities to work with an extremely diverse psychiatric population as well as medical populations. Extensive experience in the treatment modalities of individual, family, couples and group therapies.To obtain program information and application materials on line, please refer to the following website: http://www.advocatehealth.com/immc/body.cfm?id=170 Current application information will be available by August 10.","21000",NA,NA,NA
"5","1425","2261","Internship","2016-06-30 09:46:13.000","Agnesian Healthcare","Behavioral Health","430 East Division Street 
            
            
            
            Fond du Lac, Wisconsin 54935","United States","Not Applicable
             
             Chicago-Joliet-Naperville, IL-IN-WI MSA","65 miles northwest of Milwaukee - located between Madison, Milwaukee and Green Bay WI","920-926-4355x","920-926-8933","schaefere@agnesian.com","http://www.agnesian.com","http://www.agnesian.com/services/services/behavioral-health/behavioral-health-training-opportunities","Private General Hospital","","2014  Year","Not Accredited","Not Accredited","Evelyn Schaefer PsyD","Jim Salasek","10","2","09/05/2017","2","0","Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
              
            
              Sick Leave,","Flexible spending accounts, 401K, credit union, EAP, Wellness Initiatives, Fitness Center","Interns are placed at both a primary site (St. Agnes Hospital) and a secondary private practice environment (Doll & Associates or Psychiatric Associates).  At these settings they will see individual, couple and family clients, as well as, lead groups.  Additional activities include supervision, didactics, interdisciplinary consultation groups and staffings, and rotation activities.","No","No","Yes","12/09/2016 11:59 AM","Central Standard Time","Yes, with additions","Required","12/14/2016","Central Standard Time","01/11/2017","Applicants will be interviewed on January 11, 2017.  Initial information regarding internship format is presented in group format with entire training staff, then candidates will be interviewed individually  by 2-3 members of the training committee.  The interview process includes a tour of facilities and informal lunch and will last approximately 4-5 hours.  Applicants will be notified by email if they are invited to interview","Visit Website","Email the Program","Adler School of Professional Psychology
Indiana University
Alliant University - California School of Professional Psychology - San Diego
Wisconsin School of Professional Psychology
Illinois School of Professional Psychology - Schaumburg","No","No","Yes, by start of internship","","Yes, by application deadline","No","700","","","Preferred","Acceptable","Acceptable","Preferred","Acceptable","None","Acceptable","Acceptable","Acceptable","No","","flu shot and background check upon employment","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","","Yes","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","","","Yes","","Yes","Yes","","Yes","","","Yes","","","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","","","","","Yes","","Yes","Yes","","","","","","Internship Summary","25000",NA,NA,NA
"6","158","1708","Internship","2015-07-27 13:53:15.000","AHRC New York City","Family and Clinical Services","83 Maiden Lane 
            
            
            
            New York, New York 10038","United States","New York-Northern New Jersey-Long Island, NY-NJ-PA","","212-780-2578x","212-777-3918","david.louick@ahrcnyc.org","http://www.ahrcnyc.org","","Other","","1999  Year","Accredited","Not Accredited","David Louick","David Louick","3","0","09/08/2016","3","0","Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","11/15/2015 11:59 PM","Eastern Standard Time","Yes, with additions","Preferred","12/15/2014","Eastern Standard Time","","","Visit Website","Email the Program","","No","No","No","No","No","No","","","","Preferred","Preferred","Acceptable","Preferred","Preferred","None","Preferred","Preferred","Acceptable","No","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","Yes","","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","Program focuses on training psychologists in the evaluation and treatment of Developmentally Disabled individuals and their families in multiple disciplinary outpatient and day program settings. Population served spans the entire life span and a wide range of Axis I diagnostic entities.","17500",NA,NA,NA
"7","730","2149","Internship","2015-06-01 21:16:26.000","Alaska Psychology Internship Consortium","Internship Consortium in Clinical Psychology","P.O Box 73511  
            
            
            
            Fairbanks , Alaska 99707","United States","Not Applicable","","907-443-3344","","sgreen@nchcorp.org","http://www.ak-pic.org","http://www.ak-pic.org/welcome","Consortium","Consortium  


Private General Hospital 
Private Outpatient Clinic  



State/County/Other Public Hospital","2010  Year","Accredited","Not Accredited","Seth Green","Sarah Dewane Suffix","8","0","06/27/2016","6","0","Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation","The annual stipend across consortium sites is $26,000, with one exception. The stipend for the intern placed at the Alaska Psychiatric Institute is $32,000. This difference is due to the ineligibility of interns placed at API to receive health benefits through their employer. The value of these benefits has been estimated at $6,000, which has been included in the stipend for the API intern in order to achieve equity across all training sites. All AK-PIC interns are required to have health insurance.",NA,"No","No","Yes","11/08/2015 11:59 PM","Alaska Standard Time","Yes, with additions","Required","12/11/2015","Alaska Standard Time","01/19/2015","Application Process and Selection Criteria
The Consortium will offer 6 full-time positions during the 2015-2016 internship year, two per training site with the exception of Hope Counseling Center and the Southeast Alaska Regional Health Consortium, which will be inactive this year and will not offer positions. 
Applicants may apply to as many or as few training sites within AK-PIC as they choose.  Applicants designate the training sites by selecting the appropriate Match Number when submitting the application.  Please note that the Alaska Psychiatric Institute has two tracks, and applicants may choose to apply to one or both tracks.   Finally, only one complete application is required for consideration to any of the sites in the Consortium. 
All application materials must be received by November 8th, 2015 in order to be considered. If applicants are invited to interview, they will be notified by email on or before December 11th, 2015. At that time, they will also be informed of the sites for which they have been selected to interview. AK-PIC will conduct in-person interviews. For those applicants who are selected to interview for one site, the interviews will be conducted at that specific site. For those applicants selected to interview for multiple sites, the interviews will be conducted at a central location in Anchorage, with the opportunity to interview with faculty from each of the selected sites. They may also have the opportunity to tour sites and meet the staff at those sites on a separate day. AK-PIC prefers interviews to be done in-person; however, if traveling for the interview would present a significant hardship, the applicant can request a web-based interview using Skype. These requests will be discussed with faculty members and granted on a case-by-case basis.
In addition to the preferences noted above, AK-PIC takes into consideration the potential commitment or interest of any prospective intern to remain in Alaska following internship. Developing a strong behavioral health workforce is an important consideration for the state, and an interest in remaining in Alaska to join the workforce will be considered a benefit in a potential intern.
Questions regarding the application or interview process may be directed to either of AK-PIC’s Training Co-Directors, Dr. Sarah Dewane: Sarah.Dewane@providence.org or Dr. Seth Green: sgreen@NSHCORP.ORG
 
Additional detailed information is available on the Consortium website at www.ak-pic.org","Visit Website","Email the Program","","No","No","No","Yes, by ranking deadline","Yes, by start of internship","No","500","50","3","Preferred","Acceptable","Acceptable","Preferred","Acceptable","Acceptable","Acceptable","Acceptable","None","No","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Not all treatment modalities or supervised experiences are available at all sites. Please contact specific consortium members for individual site information","The Consortium is comprised of treatment centers throughout Alaska and will provide a range of clinical and didactic experiences that represents the necessary depth and breadth required for future professional practice with Alaska?s diverse communities. Interns will have a primary placement at one site, and will complete mini-rotations at other sites within the consortium. Please visit our website at www.ak-pic.org for detailed information.","32000","26000",NA,NA
"8","316","2067","Internship","2015-10-19 17:33:21.000","Alaska VA Healthcare System","Alaska VA Healthcare System","1201 North Muldoon Road 
            
            
            
            Anchorage, Alaska 99504","United States","Not Applicable","","907-257-6939x","907-257-7402","daniel.gonzales2@va.gov","http://www.alaska.va.gov/Docs/Anchorage_psych_intern.pdf","","Veterans Affairs Medical Center","","2010  Year","Accredited","Not Accredited","Daniel Gonzales","Ann Hutcheson","5","0","08/15/2016","3","0","Comp Time ,
              
            
              Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","11/20/2015 11:59 PM","Alaska Standard Time","Yes","Not offered","12/18/2015","Alaska Standard Time","","After carefully scrutinizing all APPIs, and evaluating them for training experiences, goodness-of-fit, and letters of recommendation, we will notify all applicants on Friday, December 18, 2015, of their interview eligibility status, by e-mail.  We will conduct telephone interview only, by two of the psychology Training Committee staff members, throughout the month of January, 2016. ","Visit Website","Email the Program","","Yes","No","No","Yes, by ranking deadline","Yes, by start of internship","No","","","3","Preferred","Preferred","None","Preferred","None","None","Preferred","Preferred","Preferred","No","","","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","For a full Program Description, please visit: http://www.alaska.va.gov/Docs/Anchorage_psych_intern.pdf . Our training program is committed to the scholar-practitioner model of clinical education and practice. We expect interns to be able to critically evaluate research in published studies and papers and apply research findings in their clinical practices. There are three foundations or strategies to our training. First, a strong emphasis is placed on developing the intern's ability to approach clinical phenomena from the perspective of a scholar-practitioner. Second, an equally important foundational component of our training program is a strong emphasis on the psychosocial model of recovery that focuses upon actively involving clients in determining the goals and processes of their own recovery and (re)discovering their strengths. Interns will have an excellent opportunity to incorporate the recovery model into their professional practice at the beginning of their careers. Third, we emphasize the development of skills in implementing specific EBPs including: Motivational Interviewing, Seeking Safety, Prolonged Exposure, Cognitive Processing Therapy, and Cognitive Behavior Therapy, and their application as appropriate in different cultural contexts.","23974","23974",NA,NA
"9","596","1440","Internship","2015-08-30 14:21:46.000","Albany Psychology Internship Consortium","Albany Medical College, Department of Psychiatry","Mail Code 164 
            
            
              25 Hackett Blvd. 
            
            
            Albany, New York 12208","United States","Not Applicable
             
             Not Applicable","135 miles North of NYC","518-262-5511","518-262-6111","hubbelr@mail.amc.edu","http://www.amc.edu/academic/PsychologyInternship/","http://www.amc.edu/academic/PsychologyInternship/","Consortium","Academic Health Center



Consortium  
Medical School  

Private General Hospital 




State/County/Other Public Hospital 

Veterans Affairs Medical Center","1977  Year","Accredited","Not Accredited","Robert Hubbell","Jeanette Sharp","35","3","09/01/2016","6","0","Comp Time ,
              
            
              Dissertation Release Time,
              
              
              
            
              Health Insurance,
              
            
              Licensing Exam Release Time,
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","11/30/2015 11:59 PM","Eastern Standard Time","Yes, with additions","Required","12/15/2015","Eastern Standard Time","01/04/2016","We will invite approximately 25 applicants to interview with us. Notification of interviews will be send on or prior to 12/15. We will hold interviews over a course of 5 days (M-F) either the first or second week of January. Specific dates will be determined by our recuritment committee in late November.","Visit Website","Email the Program","Please see website (information is provided)","No","No","No","Yes, by application deadline","No","No","400","0","3","Preferred","Preferred","None","Preferred","None","None","Preferred","Preferred","None","No","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","","Yes","","","","","Yes","","","","","","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","","","","","","","Yes","","Yes","Yes","Yes","","","","","A generalist internship offered in a medical school, private general hospital, state hospital, and VA Medical Center consortium. All consortium sites within walking distance. Eclectic orientation with pronounced psychodynamic underpinnings. Three, four-month rotations. Interns complete both outpatient and inpatient rotations. One elective (e.g., child and adolescent psychiatry, adolescent day treatment, primary health care, Veterans' Trauma Rehabilitation Program).","27446",NA,NA,NA
"10","738","1443","Internship","2015-05-29 17:54:12.000","Albert Einstein College of Medicine/Montefiore Medical Center","Department of Psychiatry and Behavioral Sciences","111 East 210th Street 
            
            
            
            Bronx, New York 10467-2490","United States","Not Applicable
             
             New York-Northern New Jersey-Long Island, NY-NJ-PA","0","718-920-4797","718-798-1816","srego@montefiore.org","http://www.montefiore.org/psychologyinternship","http://www.montefiore.org/documents/psychiatry/psychology-internship/Psychology-Internship-Training-Program.pdf","Private General Hospital","Academic Health Center




Medical School","1985  Year","Accredited","Not Accredited","Simon Rego","Scott Wetzler","24","7","07/01/2016","8","0","Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation","Full medical; 1 month vacation; 8 hospital holidays, up to 5 conference days; daily meal allowance; subsidized housing (not guaranteed); $500 educational materials allowance that can be used towards textbooks, membership dues, educative software, PDAs, I-Pads, e-readers, etc.",NA,"No","No","Yes","10/30/2015 11:59 PM","Eastern Standard Time","Yes","Required","12/15/2015","Eastern Standard Time","","Applicants will be notified of their interview status via email. Interviews take place on site and typically occur in early- to mid-January. The interview day runs from approximately 8:30am to 2:00pm and includes a general orientation to the program with other applicants, interviews with several of the program faculty*, a private lunch with some of the current interns, and a tour of the internship site.
*While we will attempt to fulfill requests to meet with specific faculty, we may not always be able to do so.","Visit Website","Email the Program","","No","No","No","No","No","No","0","0","3","Preferred","Acceptable","Acceptable","Preferred","Acceptable","None","Preferred","Preferred","Acceptable","No","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","","Yes","Yes","Yes","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","","","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Only a 30 minute subway ride from Midtown Manhattan, the Psychology Internship Training Program is perfect for intern candidates who are interested in experiencing life in New York City while working with an underserved population in a bustling academic medical center!","40000",NA,NA,NA
