"","display_id","site_name","desciption","2014-2015","2015-2016","2016-2017"
"1",491,"VA Boston Healthcare System","Number of Completed Applications:","313","339",NA
"2",491,"VA Boston Healthcare System","Number of applicants invited for interviews:","118","122",NA
"3",491,"VA Boston Healthcare System","Total number of interns:","18","18",NA
"4",491,"VA Boston Healthcare System","Total number of interns from APA/CPA accredited programs:","18","18",NA
"5",491,"VA Boston Healthcare System","Total number of interns from Ph.D. programs:","17","16",NA
"6",491,"VA Boston Healthcare System","Total number of interns from Psy.D. programs:","1","2",NA
"7",491,"VA Boston Healthcare System","Total number of interns from Ed.D. programs:","0","0",NA
"8",491,"VA Boston Healthcare System","Number of interns that come from a Clinical Psychology program","18","18",NA
"9",491,"VA Boston Healthcare System","Number of interns that come from a Counseling Psychology program","0","0",NA
"10",491,"VA Boston Healthcare System","Number of interns that come from a School Psychology program","0","0",NA
"11",491,"VA Boston Healthcare System","Range of integrated assessment reports: lowest number of reports written","2","0",NA
"12",491,"VA Boston Healthcare System","Range of integrated assessment reports: highest number of reports written","117","119",NA
"13",393,"Adler University-Juvenile Justice Internship Program","Number of Completed Applications:","23","25",NA
"14",393,"Adler University-Juvenile Justice Internship Program","Number of applicants invited for interviews:","16","14",NA
"15",393,"Adler University-Juvenile Justice Internship Program","Total number of interns:","3","3",NA
"16",393,"Adler University-Juvenile Justice Internship Program","Total number of interns from APA/CPA accredited programs:","3","3",NA
"17",393,"Adler University-Juvenile Justice Internship Program","Total number of interns from Ph.D. programs:","0","0",NA
"18",393,"Adler University-Juvenile Justice Internship Program","Total number of interns from Psy.D. programs:","3","3",NA
"19",393,"Adler University-Juvenile Justice Internship Program","Total number of interns from Ed.D. programs:","0","0",NA
"20",393,"Adler University-Juvenile Justice Internship Program","Number of interns that come from a Clinical Psychology program","3","3",NA
"21",393,"Adler University-Juvenile Justice Internship Program","Number of interns that come from a Counseling Psychology program","0","0",NA
"22",393,"Adler University-Juvenile Justice Internship Program","Number of interns that come from a School Psychology program","0","0",NA
"23",393,"Adler University-Juvenile Justice Internship Program","Range of integrated assessment reports: lowest number of reports written","9","13",NA
"24",393,"Adler University-Juvenile Justice Internship Program","Range of integrated assessment reports: highest number of reports written","11","26",NA
"25",105,"Advocate Family Care Network","Number of Completed Applications:","95","86","81"
"26",105,"Advocate Family Care Network","Number of applicants invited for interviews:","24","24","24"
"27",105,"Advocate Family Care Network","Total number of interns:","2","2","2"
"28",105,"Advocate Family Care Network","Total number of interns from APA/CPA accredited programs:","2","2","2"
"29",105,"Advocate Family Care Network","Total number of interns from Ph.D. programs:","0","0","0"
"30",105,"Advocate Family Care Network","Total number of interns from Psy.D. programs:","2","2","2"
"31",105,"Advocate Family Care Network","Total number of interns from Ed.D. programs:","0","0","0"
"32",105,"Advocate Family Care Network","Number of interns that come from a Clinical Psychology program","2","2","2"
"33",105,"Advocate Family Care Network","Number of interns that come from a Counseling Psychology program","0","0","0"
"34",105,"Advocate Family Care Network","Number of interns that come from a School Psychology program","0","0","0"
"35",105,"Advocate Family Care Network","Range of integrated assessment reports: lowest number of reports written",NA,NA,NA
"36",105,"Advocate Family Care Network","Range of integrated assessment reports: highest number of reports written",NA,NA,NA
"37",671,"Advocate Illinois Masonic Medical Center","Number of Completed Applications:","240","243",NA
"38",671,"Advocate Illinois Masonic Medical Center","Number of applicants invited for interviews:","40","40",NA
"39",671,"Advocate Illinois Masonic Medical Center","Total number of interns:","3","3",NA
"40",671,"Advocate Illinois Masonic Medical Center","Total number of interns from APA/CPA accredited programs:","3","3",NA
"41",671,"Advocate Illinois Masonic Medical Center","Total number of interns from Ph.D. programs:","2","1",NA
"42",671,"Advocate Illinois Masonic Medical Center","Total number of interns from Psy.D. programs:","1","2",NA
"43",671,"Advocate Illinois Masonic Medical Center","Total number of interns from Ed.D. programs:","0",NA,NA
"44",671,"Advocate Illinois Masonic Medical Center","Number of interns that come from a Clinical Psychology program","3","3",NA
"45",671,"Advocate Illinois Masonic Medical Center","Number of interns that come from a Counseling Psychology program","0",NA,NA
"46",671,"Advocate Illinois Masonic Medical Center","Number of interns that come from a School Psychology program","0",NA,NA
"47",671,"Advocate Illinois Masonic Medical Center","Range of integrated assessment reports: lowest number of reports written","2",NA,NA
"48",671,"Advocate Illinois Masonic Medical Center","Range of integrated assessment reports: highest number of reports written","23",NA,NA
"49",1425,"Agnesian Healthcare","Number of Completed Applications:","3","29","35"
"50",1425,"Agnesian Healthcare","Number of applicants invited for interviews:","3","14","16"
"51",1425,"Agnesian Healthcare","Total number of interns:","2","2","2"
"52",1425,"Agnesian Healthcare","Total number of interns from APA/CPA accredited programs:","2","2","2"
"53",1425,"Agnesian Healthcare","Total number of interns from Ph.D. programs:",NA,NA,NA
