"","display_id","site_name","desciption","2013-2014","2014-2015","2015-2016"
"1",491,"VA Boston Healthcare System","Working on dissertation/Student:","0",0,0
"2",491,"VA Boston Healthcare System","Postdoctoral Fellow:","19",17,0
"3",491,"VA Boston Healthcare System","Community Mental Health Center:","0",0,0
"4",491,"VA Boston Healthcare System","Health Maintenance Organization:","0",0,0
"5",491,"VA Boston Healthcare System","Veteran's Affairs Medical Center:","1",1,0
"6",491,"VA Boston Healthcare System","Military Medical Center:","0",0,0
"7",491,"VA Boston Healthcare System","Private General Hospital:","0",0,0
"8",491,"VA Boston Healthcare System","General Hospital:","0",0,0
"9",491,"VA Boston Healthcare System","Other Medical Center:","0",0,0
"10",491,"VA Boston Healthcare System","Private Psychiatric Hospital:","0",0,0
"11",491,"VA Boston Healthcare System","State/County/Other Public Hospital:","0",0,0
"12",491,"VA Boston Healthcare System","Correctional Facility:","0",0,0
"13",491,"VA Boston Healthcare System","School District/System:","0",0,0
"14",491,"VA Boston Healthcare System","University Counseling Center:","0",0,0
"15",491,"VA Boston Healthcare System","University Teaching Faculty:","0",0,0
"16",491,"VA Boston Healthcare System","2 or 4 year Undergraduate Teaching Position:","0",0,0
"17",491,"VA Boston Healthcare System","Medical School:","0",0,0
"18",491,"VA Boston Healthcare System","Academic Non-Teaching Position:","0",0,0
"19",491,"VA Boston Healthcare System","Research Position:","0",0,0
"20",491,"VA Boston Healthcare System","Independant Practice:","0",0,0
"21",491,"VA Boston Healthcare System","Other (e.g. consulting):","0",0,0
"22",491,"VA Boston Healthcare System","Not Currently Employed:","0",0,0
"23",491,"VA Boston Healthcare System","Changed to Other Career Field:","0",0,0
"24",491,"VA Boston Healthcare System","Unknown:","0",0,0
"25",393,"Adler University-Juvenile Justice Internship Program","Working on dissertation/Student:","0",0,0
"26",393,"Adler University-Juvenile Justice Internship Program","Postdoctoral Fellow:","2",2,0
"27",393,"Adler University-Juvenile Justice Internship Program","Community Mental Health Center:","1",0,0
"28",393,"Adler University-Juvenile Justice Internship Program","Health Maintenance Organization:","0",0,0
"29",393,"Adler University-Juvenile Justice Internship Program","Veteran's Affairs Medical Center:","0",0,0
"30",393,"Adler University-Juvenile Justice Internship Program","Military Medical Center:","0",0,0
"31",393,"Adler University-Juvenile Justice Internship Program","Private General Hospital:","0",0,0
"32",393,"Adler University-Juvenile Justice Internship Program","General Hospital:","0",0,0
"33",393,"Adler University-Juvenile Justice Internship Program","Other Medical Center:","0",0,0
"34",393,"Adler University-Juvenile Justice Internship Program","Private Psychiatric Hospital:","0",0,0
"35",393,"Adler University-Juvenile Justice Internship Program","State/County/Other Public Hospital:","0",0,0
"36",393,"Adler University-Juvenile Justice Internship Program","Correctional Facility:","2",2,0
"37",393,"Adler University-Juvenile Justice Internship Program","School District/System:","0",0,0
"38",393,"Adler University-Juvenile Justice Internship Program","University Counseling Center:","0",0,0
"39",393,"Adler University-Juvenile Justice Internship Program","University Teaching Faculty:","0",0,0
"40",393,"Adler University-Juvenile Justice Internship Program","2 or 4 year Undergraduate Teaching Position:","0",0,0
"41",393,"Adler University-Juvenile Justice Internship Program","Medical School:","0",0,0
"42",393,"Adler University-Juvenile Justice Internship Program","Academic Non-Teaching Position:","0",0,0
"43",393,"Adler University-Juvenile Justice Internship Program","Research Position:","0",0,0
"44",393,"Adler University-Juvenile Justice Internship Program","Independant Practice:","0",0,0
"45",393,"Adler University-Juvenile Justice Internship Program","Other (e.g. consulting):","0",0,0
"46",393,"Adler University-Juvenile Justice Internship Program","Not Currently Employed:","0",1,0
"47",393,"Adler University-Juvenile Justice Internship Program","Changed to Other Career Field:","0",0,0
"48",393,"Adler University-Juvenile Justice Internship Program","Unknown:","0",0,0
"49",105,"Advocate Family Care Network","Working on dissertation/Student:","0",0,0
"50",105,"Advocate Family Care Network","Postdoctoral Fellow:","0",0,0
"51",105,"Advocate Family Care Network","Community Mental Health Center:","0",0,0
"52",105,"Advocate Family Care Network","Health Maintenance Organization:","0",0,0
"53",105,"Advocate Family Care Network","Veteran's Affairs Medical Center:","0",0,0
"54",105,"Advocate Family Care Network","Military Medical Center:","0",0,0
"55",105,"Advocate Family Care Network","Private General Hospital:","0",0,0
"56",105,"Advocate Family Care Network","General Hospital:","0",0,0
"57",105,"Advocate Family Care Network","Other Medical Center:","0",0,0
"58",105,"Advocate Family Care Network","Private Psychiatric Hospital:","0",0,0
"59",105,"Advocate Family Care Network","State/County/Other Public Hospital:","0",0,0
"60",105,"Advocate Family Care Network","Correctional Facility:","0",0,0
"61",105,"Advocate Family Care Network","School District/System:","0",0,0
"62",105,"Advocate Family Care Network","University Counseling Center:","0",0,0
"63",105,"Advocate Family Care Network","University Teaching Faculty:","0",0,0
"64",105,"Advocate Family Care Network","2 or 4 year Undergraduate Teaching Position:","0",0,0
"65",105,"Advocate Family Care Network","Medical School:","0",0,0
"66",105,"Advocate Family Care Network","Academic Non-Teaching Position:","0",0,0
"67",105,"Advocate Family Care Network","Research Position:","0",0,0
"68",105,"Advocate Family Care Network","Independant Practice:","0",0,0
"69",105,"Advocate Family Care Network","Other (e.g. consulting):","0",0,0
"70",105,"Advocate Family Care Network","Not Currently Employed:","0",0,0
"71",105,"Advocate Family Care Network","Changed to Other Career Field:","0",0,0
"72",105,"Advocate Family Care Network","Unknown:","0",0,0
"73",671,"Advocate Illinois Masonic Medical Center","Working on dissertation/Student:","0",0,0
"74",671,"Advocate Illinois Masonic Medical Center","Postdoctoral Fellow:","0",0,0
"75",671,"Advocate Illinois Masonic Medical Center","Community Mental Health Center:","1",1,0
"76",671,"Advocate Illinois Masonic Medical Center","Health Maintenance Organization:","0",0,0
"77",671,"Advocate Illinois Masonic Medical Center","Veteran's Affairs Medical Center:","1",0,0
"78",671,"Advocate Illinois Masonic Medical Center","Military Medical Center:","0",0,0
"79",671,"Advocate Illinois Masonic Medical Center","Private General Hospital:","0",1,0
"80",671,"Advocate Illinois Masonic Medical Center","General Hospital:","0",0,0
"81",671,"Advocate Illinois Masonic Medical Center","Other Medical Center:","0",0,0
"82",671,"Advocate Illinois Masonic Medical Center","Private Psychiatric Hospital:","1",0,0
"83",671,"Advocate Illinois Masonic Medical Center","State/County/Other Public Hospital:","0",0,0
"84",671,"Advocate Illinois Masonic Medical Center","Correctional Facility:","0",0,0
"85",671,"Advocate Illinois Masonic Medical Center","School District/System:","0",0,0
"86",671,"Advocate Illinois Masonic Medical Center","University Counseling Center:","0",1,0
"87",671,"Advocate Illinois Masonic Medical Center","University Teaching Faculty:","0",0,0
"88",671,"Advocate Illinois Masonic Medical Center","2 or 4 year Undergraduate Teaching Position:","0",0,0
"89",671,"Advocate Illinois Masonic Medical Center","Medical School:","0",0,0
"90",671,"Advocate Illinois Masonic Medical Center","Academic Non-Teaching Position:","0",0,0
"91",671,"Advocate Illinois Masonic Medical Center","Research Position:","0",0,0
"92",671,"Advocate Illinois Masonic Medical Center","Independant Practice:","0",0,0
"93",671,"Advocate Illinois Masonic Medical Center","Other (e.g. consulting):","0",0,0
"94",671,"Advocate Illinois Masonic Medical Center","Not Currently Employed:","0",0,0
"95",671,"Advocate Illinois Masonic Medical Center","Changed to Other Career Field:","0",0,0
"96",671,"Advocate Illinois Masonic Medical Center","Unknown:","0",0,0
"97",1425,"Agnesian Healthcare","Working on dissertation/Student:","0",0,0
"98",1425,"Agnesian Healthcare","Postdoctoral Fellow:","0",0,0
"99",1425,"Agnesian Healthcare","Community Mental Health Center:","0",0,0
"100",1425,"Agnesian Healthcare","Health Maintenance Organization:","0",0,0
"101",1425,"Agnesian Healthcare","Veteran's Affairs Medical Center:","0",0,0
"102",1425,"Agnesian Healthcare","Military Medical Center:","0",0,0
"103",1425,"Agnesian Healthcare","Private General Hospital:","0",0,2
"104",1425,"Agnesian Healthcare","General Hospital:","0",1,0
"105",1425,"Agnesian Healthcare","Other Medical Center:","0",0,0
"106",1425,"Agnesian Healthcare","Private Psychiatric Hospital:","0",0,0
"107",1425,"Agnesian Healthcare","State/County/Other Public Hospital:","0",0,0
"108",1425,"Agnesian Healthcare","Correctional Facility:","0",0,0
"109",1425,"Agnesian Healthcare","School District/System:","0",0,0
"110",1425,"Agnesian Healthcare","University Counseling Center:","0",0,0
"111",1425,"Agnesian Healthcare","University Teaching Faculty:","0",0,0
"112",1425,"Agnesian Healthcare","2 or 4 year Undergraduate Teaching Position:","0",0,0
"113",1425,"Agnesian Healthcare","Medical School:","0",0,0
"114",1425,"Agnesian Healthcare","Academic Non-Teaching Position:","0",0,0
"115",1425,"Agnesian Healthcare","Research Position:","0",0,0
"116",1425,"Agnesian Healthcare","Independant Practice:","0",0,0
"117",1425,"Agnesian Healthcare","Other (e.g. consulting):","0",0,0
"118",1425,"Agnesian Healthcare","Not Currently Employed:","0",1,0
"119",1425,"Agnesian Healthcare","Changed to Other Career Field:","0",0,0
"120",1425,"Agnesian Healthcare","Unknown:","0",0,0
"121",158,"AHRC New York City","Working on dissertation/Student:","0",0,0
"122",158,"AHRC New York City","Postdoctoral Fellow:","0",0,0
"123",158,"AHRC New York City","Community Mental Health Center:","0",0,0
"124",158,"AHRC New York City","Health Maintenance Organization:","0",0,0
"125",158,"AHRC New York City","Veteran's Affairs Medical Center:","0",0,0
"126",158,"AHRC New York City","Military Medical Center:","0",0,0
"127",158,"AHRC New York City","Private General Hospital:","0",0,0
"128",158,"AHRC New York City","General Hospital:","0",0,0
"129",158,"AHRC New York City","Other Medical Center:","0",0,0
"130",158,"AHRC New York City","Private Psychiatric Hospital:","0",0,0
"131",158,"AHRC New York City","State/County/Other Public Hospital:","0",0,0
"132",158,"AHRC New York City","Correctional Facility:","0",0,0
"133",158,"AHRC New York City","School District/System:","0",0,0
"134",158,"AHRC New York City","University Counseling Center:","0",0,0
"135",158,"AHRC New York City","University Teaching Faculty:","0",0,0
"136",158,"AHRC New York City","2 or 4 year Undergraduate Teaching Position:","0",0,0
"137",158,"AHRC New York City","Medical School:","0",0,0
"138",158,"AHRC New York City","Academic Non-Teaching Position:","0",0,0
"139",158,"AHRC New York City","Research Position:","0",0,0
"140",158,"AHRC New York City","Independant Practice:","0",0,0
"141",158,"AHRC New York City","Other (e.g. consulting):","0",0,0
"142",158,"AHRC New York City","Not Currently Employed:","0",0,0
"143",158,"AHRC New York City","Changed to Other Career Field:","0",0,0
"144",158,"AHRC New York City","Unknown:","0",0,0
"145",730,"Alaska Psychology Internship Consortium","Working on dissertation/Student:","0",0,0
"146",730,"Alaska Psychology Internship Consortium","Postdoctoral Fellow:","0",0,0
"147",730,"Alaska Psychology Internship Consortium","Community Mental Health Center:","1",0,0
"148",730,"Alaska Psychology Internship Consortium","Health Maintenance Organization:","0",0,0
"149",730,"Alaska Psychology Internship Consortium","Veteran's Affairs Medical Center:","0",0,0
"150",730,"Alaska Psychology Internship Consortium","Military Medical Center:","0",0,0
"151",730,"Alaska Psychology Internship Consortium","Private General Hospital:","1",0,0
"152",730,"Alaska Psychology Internship Consortium","General Hospital:","0",0,0
"153",730,"Alaska Psychology Internship Consortium","Other Medical Center:","1",0,0
"154",730,"Alaska Psychology Internship Consortium","Private Psychiatric Hospital:","1",0,0
"155",730,"Alaska Psychology Internship Consortium","State/County/Other Public Hospital:","0",0,0
"156",730,"Alaska Psychology Internship Consortium","Correctional Facility:","0",0,0
"157",730,"Alaska Psychology Internship Consortium","School District/System:","0",0,0
"158",730,"Alaska Psychology Internship Consortium","University Counseling Center:","0",0,0
"159",730,"Alaska Psychology Internship Consortium","University Teaching Faculty:","0",0,0
"160",730,"Alaska Psychology Internship Consortium","2 or 4 year Undergraduate Teaching Position:","0",0,0
"161",730,"Alaska Psychology Internship Consortium","Medical School:","0",0,0
"162",730,"Alaska Psychology Internship Consortium","Academic Non-Teaching Position:","0",0,0
"163",730,"Alaska Psychology Internship Consortium","Research Position:","1",0,0
"164",730,"Alaska Psychology Internship Consortium","Independant Practice:","3",0,0
"165",730,"Alaska Psychology Internship Consortium","Other (e.g. consulting):","0",0,0
"166",730,"Alaska Psychology Internship Consortium","Not Currently Employed:","0",0,0
"167",730,"Alaska Psychology Internship Consortium","Changed to Other Career Field:","0",0,0
"168",730,"Alaska Psychology Internship Consortium","Unknown:","0",0,0
"169",316,"Alaska VA Healthcare System","Working on dissertation/Student:","0",0,0
"170",316,"Alaska VA Healthcare System","Postdoctoral Fellow:","1",2,0
"171",316,"Alaska VA Healthcare System","Community Mental Health Center:","0",0,0
"172",316,"Alaska VA Healthcare System","Health Maintenance Organization:","0",0,0
"173",316,"Alaska VA Healthcare System","Veteran's Affairs Medical Center:","1",1,0
"174",316,"Alaska VA Healthcare System","Military Medical Center:","1",0,0
"175",316,"Alaska VA Healthcare System","Private General Hospital:","0",0,0
"176",316,"Alaska VA Healthcare System","General Hospital:","0",0,0
"177",316,"Alaska VA Healthcare System","Other Medical Center:","0",0,0
"178",316,"Alaska VA Healthcare System","Private Psychiatric Hospital:","1",0,0
"179",316,"Alaska VA Healthcare System","State/County/Other Public Hospital:","0",0,0
"180",316,"Alaska VA Healthcare System","Correctional Facility:","0",0,0
"181",316,"Alaska VA Healthcare System","School District/System:","0",0,0
"182",316,"Alaska VA Healthcare System","University Counseling Center:","0",0,0
"183",316,"Alaska VA Healthcare System","University Teaching Faculty:","0",0,0
"184",316,"Alaska VA Healthcare System","2 or 4 year Undergraduate Teaching Position:","0",0,0
"185",316,"Alaska VA Healthcare System","Medical School:","0",0,0
"186",316,"Alaska VA Healthcare System","Academic Non-Teaching Position:","0",0,0
"187",316,"Alaska VA Healthcare System","Research Position:","0",0,0
"188",316,"Alaska VA Healthcare System","Independant Practice:","0",0,0
"189",316,"Alaska VA Healthcare System","Other (e.g. consulting):","0",0,0
"190",316,"Alaska VA Healthcare System","Not Currently Employed:","0",0,0
"191",316,"Alaska VA Healthcare System","Changed to Other Career Field:","0",0,0
"192",316,"Alaska VA Healthcare System","Unknown:","0",0,0
"193",596,"Albany Psychology Internship Consortium","Working on dissertation/Student:","1",0,0
"194",596,"Albany Psychology Internship Consortium","Postdoctoral Fellow:","4",4,0
"195",596,"Albany Psychology Internship Consortium","Community Mental Health Center:","0",0,0
"196",596,"Albany Psychology Internship Consortium","Health Maintenance Organization:","0",0,0
"197",596,"Albany Psychology Internship Consortium","Veteran's Affairs Medical Center:","0",1,0
"198",596,"Albany Psychology Internship Consortium","Military Medical Center:","0",0,0
"199",596,"Albany Psychology Internship Consortium","Private General Hospital:","0",0,0
"200",596,"Albany Psychology Internship Consortium","General Hospital:","0",0,0
"201",596,"Albany Psychology Internship Consortium","Other Medical Center:","0",0,0
"202",596,"Albany Psychology Internship Consortium","Private Psychiatric Hospital:","0",0,0
"203",596,"Albany Psychology Internship Consortium","State/County/Other Public Hospital:","0",0,0
"204",596,"Albany Psychology Internship Consortium","Correctional Facility:","0",0,0
"205",596,"Albany Psychology Internship Consortium","School District/System:","0",0,0
"206",596,"Albany Psychology Internship Consortium","University Counseling Center:","0",0,0
"207",596,"Albany Psychology Internship Consortium","University Teaching Faculty:","0",0,0
"208",596,"Albany Psychology Internship Consortium","2 or 4 year Undergraduate Teaching Position:","1",1,0
"209",596,"Albany Psychology Internship Consortium","Medical School:","0",0,0
"210",596,"Albany Psychology Internship Consortium","Academic Non-Teaching Position:","0",0,0
