"","display_id","site_name","primary_agency_type","address","web_url","apa_accred","number_of_slots","high_stipend","appi_intervention_hours","appi_assess_hours","chance_of_interview","chance_of_intership"
"1",491,"VA Boston Healthcare System","Veterans Affairs Medical Center","VA Boston Healthcare System150 South Huntington AvenueBoston, Massachusetts 02130","http://www.boston.va.gov/psychologytraining/internship.asp","Accredited",18,26208,0,0,0.37,0.15
"13",393,"Adler University-Juvenile Justice Internship Program","Prison or Other Correctional Facility","17 N. Dearborn Chicago, Illinois 60602","http://adler.edu/achs","Not Accredited",3,23000,400,100,0.62,0.2
"25",105,"Advocate Family Care Network","Private Outpatient Clinic","Mailing Address: P.O. Box 776 Oak Lawn, Illinois 60454-0776","http://www.advocatehealth.com/familycarenetwork","Accredited",2,24793,550,150,0.28,0.08
"37",671,"Advocate Illinois Masonic Medical Center","Private General Hospital","938 W. Nelson Street Chicago, Illinois 60657","http://www.advocatehealth.com/immc/body.cfm?id=170","Accredited",3,21000,0,0,0.17,0.08
"49",1425,"Agnesian Healthcare","Private General Hospital","430 East Division Street Fond du Lac, Wisconsin 54935","http://www.agnesian.com","Not Accredited",2,25000,700,0,0.5,0.18
"61",158,"AHRC New York City","Other","83 Maiden Lane New York, New York 10038","http://www.ahrcnyc.org","Accredited",3,17500,0,0,0,0
"73",730,"Alaska Psychology Internship Consortium","Consortium","P.O Box 73511Fairbanks , Alaska 99707","http://www.ak-pic.org","Accredited",6,32000,500,50,0.53,0.2
"85",316,"Alaska VA Healthcare System","Veterans Affairs Medical Center","1201 North Muldoon Road Anchorage, Alaska 99504","http://www.alaska.va.gov/Docs/Anchorage_psych_intern.pdf","Accredited",3,23974,0,0,0.43,0.1
"97",596,"Albany Psychology Internship Consortium","Consortium","Mail Code 16425 Hackett Blvd.Albany, New York 12208","http://www.amc.edu/academic/PsychologyInternship/","Accredited",6,27446,400,0,0.17,0.23
"109",738,"Albert Einstein College of Medicine/Montefiore Medical Center","Private General Hospital","111 East 210th Street Bronx, New York 10467-2490","http://www.montefiore.org/psychologyinternship","Accredited",8,40000,0,0,0.15,0.13
"121",821,"Alberta Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","2888 Shaganappi Trail NW Calgary, Alberta T3B 6A8","http://www.albertahealthservices.ca/assets/programs/ps-1883-brochure.pdf","Not Accredited",3,32018,0,0,0.53,0.15
"133",412,"Alexian Brothers Behavioral Health Hospital","Private Psychiatric Hospital","1650 Moon Lake Blvd Hoffman Estates, Illinois 60169","http://www.alexianbrothershealth.org","Accredited",7,25000,800,100,0.35,0.08
"145",383,"Allegheny General Hospital","Private General Hospital","Four Allegheny Center 8th Floor Pittsburgh, Pennsylvania 15212-5234","http://www.wpahs.org/specialties/psychiatry/psychology-internship","Accredited",3,22000,0,0,0.27,0.09
"157",753,"Allendale Association","Other","PO Box 1088 Lake Villa, Illinois 60046","http://www.allendale4kids.org","Accredited",2,23660,0,0,0.13,0.14
"169",557,"Alpert Medical School of Brown University","Consortium","Alpert Medical School of Brown UniversityBox G-BHProvidence, Rhode Island 02912","http://brown.edu/go/clinical-psychology-training","Accredited",25,25700,0,0,0.34,0.2
"181",369,"American University","University Counseling Center","Mary Graydon Center 2144400 Massachusetts Ave. N.W.Washington, District of Columbia 20016","http://www.american.edu/ocl/counseling/Graduate-Training-Program-Internship.cfm","Accredited",4,29393,450,0,0.17,0.17
"193",326,"Ancora Psychiatric Hospital","State/County/Other Public Hospital","301 Spring Garden Road Ancora, New Jersey 08037-9699","http://www.state.nj.us/humanservices/dmhas/resources/services/treatment/aph.html","Accredited",3,29166,500,50,0.43,0.1
"205",22,"Andrus","Private Outpatient Clinic","19 Greenridge Avenue White Plains, New York 10605-1201","http://www.andruschildren.org","Accredited",6,21000,900,100,0.38,0.15
"217",829,"Anka Behavioral Health Inc. Northern California","Community Mental Health Center","1850 Gateway BlvdSuite 900Concord , California 94520","http://www.ankabhi.org","Not Accredited",9,18000,0,0,0.49,0.14
"229",297,"Ann & Robert H. Lurie Children's Hospital of Chicago (formerly Children's Memorial Hospital)","Child/Adolescent Psychiatric or Pediatrics","225 E. Chicago Avenue Chicago, Illinois 60611","http://www.luriechildrens.org/psychology","Accredited",3,26811,750,100,0.22,0.09
"241",1517,"Annapolis Valley Health","Community Mental Health Center","5 Chipman Drive Kentville, Nova Scotia B4N3V7","http://www.avdha.nshealth.ca/","Not Accredited",2,27500,300,300,0.58,0.14
"253",100,"Appalachian State University","University Counseling Center","P. O. Box 32044Appalachian State UniversityBoone , North Carolina 28608-2044","http://www.counseling.appstate.edu","Accredited",3,23660,400,0,0.31,0.08
"265",847,"Applewood Centers, Inc.","Community Mental Health Center","3518 W. 25th St. Cleveland, Ohio 44109","http://www.applewoodcenters.org","Accredited",3,21000,450,125,0.28,0.06
"277",1,"Applied Psychology Group of Texoma","Private Outpatient Clinic","600 E. Taylor StreetSuite 4011Sherman, Texas 75090","http://www.apgtexoma.com","Not Accredited",5,20000,0,0,0,0
"289",284,"Arizona Psychology Training Consortium","Consortium","4015 South McClintock DriveSuite 110Tempe, Arizona 85282","http://www.azpa.org","Not Accredited",7,25000,500,0,0.47,0.21
"301",668,"Arizona State Hospital","State/County/Other Public Hospital","2500 E. Van Buren Street Phoenix, Arizona 85008","","Accredited",3,20000,200,100,0.94,0.18
"313",82,"Arizona State University","University Counseling Center","PO Box 871012 Tempe, Arizona 85287-1012","https://eoss.asu.edu/counseling","Accredited",3,27000,400,0,0.35,0.08
"325",240,"Arrowhead Psychological Clinic, P.A.","Private Outpatient Clinic","715 E Central Entrance Duluth, Minnesota 55811","http://www.mnpsych.com","Not Accredited",2,15000,500,500,0.5,0.2
"337",624,"Asian Americans for Community Involvement (AACI)","Community Mental Health Center","2400 Moorpark Avenue Suite 300 San Jose, California 95128","http://www.aaci.org","Not Accredited",3,17000,0,0,0.59,0.19
"349",270,"Astor Services for Children & Families","Other","390 Crystal Run Road Suite 107Middletown, New York 10941-4051","http://astorservices.org","Accredited",5,24024,800,80,0.47,0.1
"361",392,"Atascadero State Hospital (California Department of State Hospitals- Atascadero)","State/County/Other Public Hospital","Medical Staff Office10333 El Camino RealAtascadero, California 93423","http://www.dsh.ca.gov/Atascadero/Internships/ClinicalPsychologyInternship.asp","Accredited",4,40700,500,150,0.24,0.29
"373",321,"Atlanta VA Medical Center","Veterans Affairs Medical Center","1670 Clairmont Road, MHSL (116) Decatur, Georgia 30033","http://www.atlanta.va.gov/careers/Psychology_Training.asp","Accredited",6,25051,500,0,0.21,0.11
"385",741,"Aurora Community Mental Health Center","Community Mental Health Center","11059 East Bethany Drive, Suite 200 Aurora, Colorado 80014","http://www.aumhc.org (click on ""careers"" and ""internships""","Accredited",5,27600,500,100,0.17,0.14
"397",1516,"Aurora Health Care","Private General Hospital","Aurora Sinai Medical Center1020 North 12th StreetABHC 4th Floor OHC Milwaukee, Wisconsin 53201","http://aurorahealthcare.org","Accredited",4,44720,2500,500,0.58,0.29
"409",1355,"Avondale Elementary School District","School District","295 West Western Avenue Avondale, Arizona 85323","http://www.avondale.k12.az.us","Not Accredited",4,25000,25,100,0.38,0.4
"421",352,"Ball State University","University Counseling Center","Lucina HallBall State UniversityMuncie, Indiana 47306-0895","http://www.bsu.edu/counselingcenter/","Accredited",3,24000,400,0,0.57,0.07
"433",275,"Barrow Neurological Institute at Phoenix Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","1919 East Thomas RoadAmbulatory Building (B)Phoenix , Arizona 85016-7710","http://barrow.phoenixchildrens.org/professionals/psych-interns","Accredited",2,28093,700,100,0.27,0.1
"445",312,"Baruch College, City University of New York","University Counseling Center","137 East 25th StreetBox J-0914New York, New York 10010","http://www.baruch.cuny.edu/studentaffairs/counselingCenter_internship.htm","Not Accredited",2,15000,400,0,1,0.02
