APPIC Number,Site / Department,url_number
1325,VA Boston Healthcare System/VA Boston Healthcare System Psychology Internship Training Program,491
1254,Adler University/Adler Community Health Services,261
1261,Adler University-Juvenile Justice Internship Program/Adler Community Health Services ,393
1283,Advocate Family Care Network/Advocate Family Care Network,105
1263,Advocate Illinois Masonic Medical Center/Behavioral Health Services ,671
2261,Agnesian Healthcare/Behavioral Health,1425
1708,AHRC New York City/Family and Clinical Services,158
2149,Alaska Psychology Internship Consortium/Internship Consortium in Clinical Psychology ,730
2067,Alaska VA Healthcare System/Alaska VA Healthcare System,316
1440,"Albany Psychology Internship Consortium/Albany Medical College, Department of Psychiatry",596
1443,Albert Einstein College of Medicine/Montefiore Medical Center/Department of Psychiatry and Behavioral Sciences,738
1801,Alberta Children's Hospital/Discipline of Psychology,821
1273,Alexian Brothers Behavioral Health Hospital/Doctoral Internship Program in Health Service Psychology,412
1540,Allegheny General Hospital/Psychiatry,383
1278,Allendale Association/Bradley Counseling Center,753
2289,Alliant International University/Oakland Psychological Services Center,910
1551,Alpert Medical School of Brown University/Clinical Psychology Training Consortium / Psychiatry & Human Behavior,557
1778,American University/Counseling Center,369
1422,Ancora Psychiatric Hospital/Psychological Services,326
1498,Andrus /Psychology Department,22
2155,"Anka Behavioral Health Inc. Northern California /Attn: Jessica Apfel, PsyD, RAS / Clinical Training Department ",829
1257,Ann & Robert H. Lurie Children's Hospital of Chicago (formerly Children's Memorial Hospital)/Department of Child and Adolescent Psychiatry #10,297
2331,Ann Martin Center/Internship Training Program,1529
1825,Annapolis Valley Health /Mental Health & Addictions Services,1517
2304,Appalachian Psychology Internship/Psychology ,1435
1406,Appalachian State University/Counseling & Psychological Services Center,100
1506,"Applewood Centers, Inc./Psychology",847
2156,Applied Psychology Group of Texoma/APG Psychology Intternship,1
1158,Arizona Psychology Training Consortium/Director of Internship Training,284
1108,Arizona State Hospital/Psychology Service ,668
1109,Arizona State University/Counseling Services,82
2097,"Arrowhead Psychological Clinic, P.A./Clinical Psychology",240
2136,Asian Americans for Community Involvement (AACI)/Behavioral Health ,624
1488,Astor Services for Children & Families/Clinical,270
1113,Atascadero State Hospital (California Department of State Hospitals- Atascadero)/Psychology Internship Program - Medical Staff Office,392
1235,Atlanta VA Medical Center/Mental Health Service Line,321
1692,Aurora Community Mental Health Center/Psychology Internship Program,741
1632,Aurora Health Care/Aurora Behavioral Health Services,1516
2316,Avondale Elementary School District/Psychology,1355
1297,Ball State University/Counseling Center,352
2052,Barrow Neurological Institute at Phoenix Children's Hospital/Department of Behavioral Medicine,275
1785,"Baruch College, City University of New York/Student Health Center/ Counseling Center",312
2344,Bath VA Medical Center/Psychology,1561
1198,"Bay Pines VA Healthcare System/Psychology Section, Mental Health and Behavioral Sciences Service",679
1837,Baycrest/Neuropsychology & Cognitive Health Program,68
1577,Baylor College of Medicine/Menninger Department of Psychiatry and Behavioral Sciences,163
1948,"Baylor College of Medicine/Texas Children's Hospital/Psychology Section, Department of Pediatrics",459
2367,Baylor University Counseling Center/Counseling Services,1655
1826,BC Children's Hospital/Department of Psychology,162
1946,Bexar County Juvenile Probation Department/Mental Health Assessment & Triage Unit,521
2263,Biola University/Biola Counseling Center,1498
2166,Boise Veterans Administration Medical Center/Psychology Service ,410
1326,Boston University Medical Campus/The Center for Multicultural Training in Psychology/Center for Multicultural Training in Psychology ,419
1922,Bowling Green State University/Counseling Center,839
2254,Brattleboro Retreat/Adult Outpatient ,1356
1271,Bridge View Day Treatment School/Challenger Day Treatment/Clinical Training,94
1593,Brigham Young University/Counseling and Psychological Services,731
1806,British Columbia Mental Health & Substance Use Services/Learning and Development,73
1446,Bronx VA Medical Center/Psychology Program ,480
1738,Brooke Army Medical Center/Department of Behavioral Medicine,785
1415,Broughton Hospital/Psychology Department,700
1293,Butler University/University Counseling Center,124
1802,"Calgary Clinical Psychology Residency/Psychology, Alberta Health Services-Calgary Zone",51
1169,California Department of State Hospitals/DSH--Vacaville ,863
2262,California Pacific Medical Center/Department of Psychiatry,1663
1119,California Psychology Internship Consortium DSH-Coalinga Porterville Developmental Center San Quentin State Prison State Center Community College District Sutter Center for Psychiatry Psychological Services Center /California Psychology Internship Program,627
2265,California State University San Marcos/Student Health and Counseling Services,1607
2187,"California State University, Fullerton Counseling and Psychological Services /Counseling and Psychological Services ",236
1127,"California State University, Long Beach/Counseling and Psychological Services",296
2129,"California State University, Northridge/University Counseling Services",271
1334,Cambridge Health Alliance /Harvard Medical School/Division of Psychology/Department of Psychiatry,376
2176,Canandaigua VA Medical Center/Psychology,461
1384,"Canvas Health, formerly known as Human Services Inc. (HSI)/Psychological Services",91
1280,Captain James A Lovell Federal Healthcare Center/Psychology Service (116B),374
2270,Carle Foundation Hospital/Carle Physicians Group/Psychology,896
2279,Carnegie Mellon University/Counseling and Psychological Services,1490
1340,"Carson Center for Human Services, a Program of Behavioral Health Network (BHN)/Carson Center For Adults and Families",465
1516,Casa Pacifica/Clinical Services,489
2177,Case Western Reserve University/,502
